Company,Year,Category,Rank,System_Sales_Millions,Avg_Sales_Per_Unit_Thousands,Franchised_Units,Company_Units,Total_Units,Total_Change_From_Previous_Year,popChange_2020_to_2023,city_state
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,4013,"Birmingham, Alabama"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,4448,"Mobile, Alabama"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-911,"Muscle Shoals, Alabama"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-990,"Pell City, Alabama"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-272,"Scottsboro, Alabama"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-325,"Kenai, Alaska"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-888,"Wasilla, Alaska"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-2900,"Eloy, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,209,"Fountain Hills, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-2118,"Lake Havasu City, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-7352,"Mesa, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-7352,"Mesa, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-7352,"Mesa, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-41855,"Phoenix, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-41855,"Phoenix, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-41855,"Phoenix, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-41855,"Phoenix, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-41855,"Phoenix, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-41855,"Phoenix, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-3054,"Scottsdale, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-3054,"Scottsdale, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,888,"Sierra Vista, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-278,"Taylor, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-5621,"Tempe, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4581,"Tucson, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4581,"Tucson, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4581,"Tucson, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4581,"Tucson, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4581,"Tucson, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4581,"Tucson, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4581,"Tucson, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,491,"Winslow, Arizona"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1217,"Bryant, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,452,"Camden, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-235,"Clarksville, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,393,"Jacksonville, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-2071,"Jonesboro, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1278,"Little Rock, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1278,"Little Rock, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1278,"Little Rock, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4123,"Rogers, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-928,"Van Buren, Arkansas"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,2078,"Azusa, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1171,"Brea, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,1166,"Chula Vista, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,2546,"Covina, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,1284,"Gilroy, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-941,"Hanford, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,6592,"Huntington Beach, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,6592,"Huntington Beach, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,6592,"Huntington Beach, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1343,"Lodi, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,17304,"Long Beach, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-787,"Palm Desert, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-3273,"Rancho Cordova, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1459,"Sacramento, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1348,"San Diego, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,3660,"Sunnyvale, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,2263,"Tustin, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,341,"Upland, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,3278,"Vallejo, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4065,"Victorville, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,76,"Yucca Valley, California"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-8727,"Aurora, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-2405,"Brighton, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-2405,"Brighton, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,47,"Burlington, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-9643,"Colorado Springs, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-9643,"Colorado Springs, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-9643,"Colorado Springs, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1053,"Denver, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1053,"Denver, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-633,"Englewood, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-550,"Fort Collins, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,1212,"Littleton, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-2988,"Loveland, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-1031,"Montrose, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-4220,"Parker, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,794,"Pueblo, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-535,"Silverthorne, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,787,"Sterling, Colorado"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-472,"Dover, Delaware"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-472,"Dover, Delaware"
Arby's,2021,Sandwich,16,4215,1273,2176,1193,3369,10,-732,"Georgetown, Delaware"
