popChange_2020_to_2023,city_state,name
-27,"Abbeville, Alabama",McDonald's
-27,"Abbeville, Alabama",SUBWAY
200,"Adamsville, Alabama",Jack's Family Restaurants
-773,"Alabaster, Alabama",Firehouse Subs
-773,"Alabaster, Alabama",Church's Chicken
-773,"Alabaster, Alabama",Moe's Southwest Grill
-773,"Alabaster, Alabama",Whataburger
-773,"Alabaster, Alabama",Captain D's Seafood Kitchen
-773,"Alabaster, Alabama",Pizza Hut
-773,"Alabaster, Alabama",Panera Bread
-773,"Alabaster, Alabama",Jimmy John's
-773,"Alabaster, Alabama",Jack's
-639,"Albertville, Alabama",Pizza Hut
-639,"Albertville, Alabama",Subway
382,"Alexander City, Alabama",McDonald's
382,"Alexander City, Alabama",KFC
119,"Aliceville, Alabama",Jack's Family Restaurants
3,"Altoona, Alabama",Jack's
2,"Andalusia, Alabama",Hardee's
2,"Andalusia, Alabama",Crispy Chicken
2,"Andalusia, Alabama",Church's Chicken
2,"Andalusia, Alabama",Sonic Drive-In
2,"Andalusia, Alabama",McDonald's
2,"Andalusia, Alabama",Subway
396,"Anniston, Alabama",Church's Chicken
396,"Anniston, Alabama",Krystal
396,"Anniston, Alabama",Heroes American Grille
396,"Anniston, Alabama",SUBWAY
396,"Anniston, Alabama",Jack's
396,"Anniston, Alabama",Domino's Pizza
396,"Anniston, Alabama",Quiznos
-385,"Arab, Alabama",Pizza Hut
-385,"Arab, Alabama",Jack's
-385,"Arab, Alabama",Krispy Krunchy Chicken
-385,"Arab, Alabama",SUBWAY
-385,"Arab, Alabama",Subway
-385,"Arab, Alabama",Midas Burger
-49,"Ashville, Alabama",Fox's Pizza Den
-5493,"Athens, Alabama",McDonald's
-5493,"Athens, Alabama",Touchdown Wings
-5493,"Athens, Alabama",Dairy Queen Grill Chill
-5493,"Athens, Alabama",Firehouse Subs
-5493,"Athens, Alabama",Pizza Hut
-5493,"Athens, Alabama",Touchdown Wings
-5493,"Athens, Alabama",Subway
83,"Atmore, Alabama",Churpeys of Alabama
83,"Atmore, Alabama",Sonic Drive-In
17,"Attalla, Alabama",Waffle House
17,"Attalla, Alabama",Taco Bell
17,"Attalla, Alabama",Subway
17,"Attalla, Alabama",Jack's Family Restaurants
-5459,"Auburn, Alabama",Wendys
-5459,"Auburn, Alabama",Uncle Maddio's Pizza Joint
-5459,"Auburn, Alabama",Uncle Maddio's Pizza
-5459,"Auburn, Alabama",Waffle House
-5459,"Auburn, Alabama",Panera Bread
-5459,"Auburn, Alabama",Mellow Mushroom
-5459,"Auburn, Alabama",Panera Bread
-5459,"Auburn, Alabama",Chick-fil-A
-5459,"Auburn, Alabama",Sonic Drive-In
-5459,"Auburn, Alabama",Jack's
-5459,"Auburn, Alabama",McAlisters Deli
-5459,"Auburn, Alabama",Chipotle Mexican Grill
-5459,"Auburn, Alabama",Subway
-270,"Bay Minette, Alabama",Pizza Hut
-270,"Bay Minette, Alabama",Hardee's
1030,"Bessemer, Alabama",Church's Chicken Of Birmingham
1030,"Bessemer, Alabama",SUBWAY
1030,"Bessemer, Alabama",Bank's Southern Style Restaurant
1030,"Bessemer, Alabama",D's Tamales Togo
1030,"Bessemer, Alabama",Pizza Hut
1030,"Bessemer, Alabama",Sonic Drive-In
1030,"Bessemer, Alabama",Subway
1030,"Bessemer, Alabama",Pizza Hut
1030,"Bessemer, Alabama",KFC
1030,"Bessemer, Alabama",King's Wings
1030,"Bessemer, Alabama",Mcalister's Deli
1030,"Bessemer, Alabama",Church's Chicken Of Birmingham
4013,"Birmingham, Alabama",Pizza Hut
4013,"Birmingham, Alabama",McDonald's
4013,"Birmingham, Alabama",Waffle House
4013,"Birmingham, Alabama",Church's Chicken
4013,"Birmingham, Alabama",Church's Chicken
4013,"Birmingham, Alabama",Churchs Chicken
4013,"Birmingham, Alabama",Hardee's
4013,"Birmingham, Alabama",Moe's Southwest Grill
4013,"Birmingham, Alabama",Chipotle Mexican Grill
4013,"Birmingham, Alabama",SUBWAY
4013,"Birmingham, Alabama",Mellow Mushroom
4013,"Birmingham, Alabama",Jimmy John's
4013,"Birmingham, Alabama",Hardee's
4013,"Birmingham, Alabama",Jimmy John's
4013,"Birmingham, Alabama",Rally's
4013,"Birmingham, Alabama",Taco Bell
4013,"Birmingham, Alabama",Dawson's Burgers Wings Fries
4013,"Birmingham, Alabama",Pizza Hut
4013,"Birmingham, Alabama",Jack Brown's Beer Burger Jnt
4013,"Birmingham, Alabama",Chick-fil-A
4013,"Birmingham, Alabama",Chick-Fil-A
4013,"Birmingham, Alabama",Guthrie's
4013,"Birmingham, Alabama",Chipotle Mexican Grill
4013,"Birmingham, Alabama",SUBWAY
4013,"Birmingham, Alabama",Jimmy John's
4013,"Birmingham, Alabama",Sol's Sandwich Shop and Deli
4013,"Birmingham, Alabama",Subway
4013,"Birmingham, Alabama",Jersey Mike's Subs
4013,"Birmingham, Alabama",Taco Bell
4013,"Birmingham, Alabama",Moe's Southwest Grill
4013,"Birmingham, Alabama",ChickfilA
4013,"Birmingham, Alabama",Church's Chicken
4013,"Birmingham, Alabama",Jersey Mike's Subs
4013,"Birmingham, Alabama",McDonald's
4013,"Birmingham, Alabama",Back Yard Burgers
4013,"Birmingham, Alabama",Sbarro
4013,"Birmingham, Alabama",McDonald's
4013,"Birmingham, Alabama",Subway
4013,"Birmingham, Alabama",Taco Bell
4013,"Birmingham, Alabama",Milo's Hamburgers
4013,"Birmingham, Alabama",Pizza Hut
4013,"Birmingham, Alabama",Full Moon Bar-B-Que
4013,"Birmingham, Alabama",Saigon Noodle House
4013,"Birmingham, Alabama",Sonic Drive-In
4013,"Birmingham, Alabama",Rallys
4013,"Birmingham, Alabama",Chick-fil-A
4013,"Birmingham, Alabama",Arby's
4013,"Birmingham, Alabama",KFC
4013,"Birmingham, Alabama",Hamburger Heaven
4013,"Birmingham, Alabama",Subway
4013,"Birmingham, Alabama",Which Wich
4013,"Birmingham, Alabama",Chick-fil-A
4013,"Birmingham, Alabama",Moe's Southwest Grill
4013,"Birmingham, Alabama",Captain D's Seafood Kitchen
4013,"Birmingham, Alabama",Chick-Fil-A
4013,"Birmingham, Alabama",Moes Southwest Grill
4013,"Birmingham, Alabama",Jason's Deli
4013,"Birmingham, Alabama",McDonald's
4013,"Birmingham, Alabama",Church's Chicken
4013,"Birmingham, Alabama",McDonalds
4013,"Birmingham, Alabama",Back Yard Burgers
4013,"Birmingham, Alabama",KFC
4013,"Birmingham, Alabama",Kfc
4013,"Birmingham, Alabama",Subway
4013,"Birmingham, Alabama",Panera Bread
4013,"Birmingham, Alabama",Chick-Fil-A
4013,"Birmingham, Alabama",Jimmy John's
4013,"Birmingham, Alabama",Dairy Queen
4013,"Birmingham, Alabama",Mafiaoza
4013,"Birmingham, Alabama",Gyro's Cafe
-265,"Boaz, Alabama",SUBWAY
-265,"Boaz, Alabama",Jack's
-265,"Boaz, Alabama",Captain D's Seafood
102,"Butler, Alabama",McDonald's
-1717,"Calera, Alabama",Jack's
-1717,"Calera, Alabama",Burger King
-1717,"Calera, Alabama",Subway
